Model;MAE;Avg_Inference_Time_Batch;CS1;CS3;CS5;CS7;CS10;MAE_0-10;MAE_11-20;MAE_21-30;MAE_31-40;MAE_41-50;MAE_51-60;MAE_61+
Hybrid_EfficientNet_ViT_v2;4.8371077;0.027328481737351574;21.807628524046436;47.92703150912106;65.00829187396351;76.20232172470979;88.01824212271974;1.684094;5.157515;3.4766521;5.089284;6.415043;7.6633906;9.112325
Standalone_EfficientNetB4;5.080441;0.023782488526097986;21.102819237147596;46.84908789386401;63.30845771144279;74.212271973466;86.06965174129353;2.076627;5.455613;3.5709314;5.6996455;6.325475;7.741937;9.355694
Standalone_ResNet50;5.171724;0.010031772765102765;20.398009950248756;45.605306799336645;60.98673300165838;74.0464344941957;85.07462686567165;2.1904619;5.123126;3.9852207;6.00791;6.7439075;7.5573373;8.296393
Hybrid_ResNet50_ViT;5.212177;0.015570479513004127;19.693200663349916;43.407960199004975;61.27694859038143;72.636815920398;85.03316749585407;2.0910738;5.402698;3.8944833;5.900652;6.943536;7.7569733;8.756075
Hybrid_EfficientNet_ViT;5.3341513;0.03492529186981403;20.149253731343283;45.77114427860697;61.940298507462686;73.54892205638475;84.07960199004975;3.1130118;6.245281;3.349723;5.588319;7.3087645;8.191847;9.40226
Standalone_ViT_B16;8.268993;0.007505893707275391;15.796019900497512;37.02321724709785;49.834162520729684;60.94527363184079;72.09784411276948;6.4174232;9.936467;3.162698;6.3346753;11.535656;14.154746;20.998352
